표준 번호,표준 제정 번호,표준 분류,표준 명,표준 상태,제정 년도,제정기관 표준이력,관련 사이트,표준 개요,표준 요약
MND-IETF RFC 9147,"The Datagram Transport Layer Security (DTLS) Protocol Version 1.3, April 2022",DITA 2023 v3,LDAP,미래(Emerging),IETF,,데이터그램 프로토콜을 위한 통신 프라이버시를 제공하는 DTLS v1.3을 정의,생략,생략
MND-IETF RFC 9293,"Transmission Control Protocol (TCP), August 2022",DITA 2023 v3,TCP,미래(Emerging),IETF,,"네트워크 상의 End Node간 논리적 연결 및 전송을 위한 Transport 계층 Protocol의 한 종류로 신뢰성, 비실시간 서비스를 위하여 정의된 TCP 표준",생략,생략
MND-IETF RFC 951,"Bootstrap Protocol (BOOTP), September 1985",DITA 2023 v3,BOOTP,사양(Retired),IETF,www.rfc-editor.org/info/rfc951,"BOOTP (Bootstrap Protocol)  초기 적재 통신 규약 BOOTP는 네트웍 사용자가 자동으로 구성되고(IP 주소를 받게), 사용자의 간여 없이도 부트되는 운영체계를 가지고 있게 해주는 프로토콜이다.",생략,생략
MND-IETF RFCs 2045-2049,"Multipurpose Internet Mail Extensions (MIME) Parts 1-5, November 1996",DITA 2023 v3,MIME,필수(Mandated),IETF,www.rfc-editor.org/info/rfc2045,"본 표준은 RFC 2045(인터넷 본문 형식인), RFC 2046 (Media 유형), RFC 2047 (Non-ASCII 텍스트에 대한 Message Header Extensions), RFC 2048 및 2049에 기술되어 있는 Message 암호화(encoding) 프로토콜임.",생략,생략
MND-IETF Standard 13/RFC 1034/RFC 1035,"Domain Name System, November 1987",DITA 2023 v3,DNS,필수(Mandated),IETF,www.rfc-editor.org/info/rfc1034,"DNS는 인터넷 도메인 이름들의 위치를 알아내기 위한 IP 주소로 바꾸어주는 시스템이다. 도메인 이름은 인터넷 주소로서 사람들이 기억하기 쉽고, 의미 있게 붙인 이름이지만, 인터넷에서 어떤 컴퓨터를 실제로 찾기 위해서는 숫자 체계로 된 IP 주소가 필요하다.",생략,생략
MND-IETF Standard 37/RFC 826,"An Ethernet Address Resolution Protocol, November 1982",DITA 2023 v3,ARP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc826,Ethernet ARP 는 3계층 프로토콜 스텍에 속하는 표준으로 3계층의 패킷을 2계층의 프레임으로 캡슐화하기 위해 Ethernet의 Header부분에 들어갈 MAC주소를 IP주소에서 찾아주는 규약이다.,생략,생략
MND-IETF Standard 41/RFC 894,"A Standard for the Transmission of IP Datagrams over Ethernet Networks, April 1984",DITA 2023 v3,IPv4,필수(Mandated),IETF,www.rfc-editor.org/info/rfc894,"본 표준은 10Gb/s Serial PHY를 위한 이더넷 백플레인을 정의하는 것을 목적으로 한다. 1Gb/s, 10Gb/s 에서 전기적 백플레인에 대하여 IEEE802.3 프레임의 변경을 지원하는 새로운 물리계층을 정의한다.",생략,생략
MND-IETF Standard 51/RFC 1661/RFC 1662,"The Point-to-Point Protocol (PPP), July 1994",DITA 2023 v3,PPP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc1661,"본 표준은 IPv4와 IPv6의 전이중(full duplex), 동기 혹은 비동기, 점대점(point-to-point) 통신을 위한 필수 표준이다.",생략,생략
MND-IETF Standard 54/RFC 2328,"OSPF Version 2, April 1998",DITA 2023 v3,OSPF,필수(Mandated),IETF,www.rfc-editor.org/info/rfc2328,자율(autunomous) 시스템내의 경로(route)는 IGP(Interior Gateway Protocol)에 의해 지역적으로 관리되는 지역 경로(local route)로 간주됨. 다음의 표준은 IPv4 유니캐스트(unicast) 내부 게이트웨이 라우팅을 위한 필수 표준임.,생략,생략
MND-IETF Standard 6/RFC 768,"User Datagram Protocol, August 1980",DITA 2023 v3,UDP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc768,본 표준은 UDP유디피는 IP를 사용하는 네트웍 내에서 컴퓨터들 간에 메시지들이 교환될 때 제한된 서비스만을 제공하는 통신 프로토콜을 정의한다.,생략,생략
MND-IETF Standard 7/RFC 793,"Transmission Control Protocol, September 1981",DITA 2023 v3,TCP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc793,"TCP는 연결지향 프로토콜로 이것은 메시지들이 각단의 응용 프로그램들에 의해 교환되는 시간동안 연결이 확립되고 유지되는 것을 의미한다. TCP는 IP가 처리할 수 있도록 메시지를 여러 개의 패킷들로 확실히 나누고, 반대편에서는 완전한 메시지로 패킷들을 재조립할 책임이 있다. OSI 통신모델에서, TCP는 4계층인 트랜스포트 계층에 속한다. 공식적인 TCP는 IETF의 RFC 793에 있다.",생략,생략
MND-IS-GPS-200D,"Navstar GPS Space Segment/Navigation User Interface, Revision D, 7 December 2004",DITA 2023 v3,GPS Message,필수(Mandated),U.S.,www.gps.gov/technical/icwg,본 표준은 미국 공군의 위성 GPS 네트워크인 NAVSTAR GPS에서 우주부분과 내비게이션의 사용자 인터페이스에 관한 필수 표준임.,생략,생략
MND-ISO 12234-1:2001,Electronic still-picture imaging - Removable memory -- Part 1: Basic removable-memory module,DITA 2023 v3,"영상압축,정지영상압축",필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=42294,본 표준은 디지털 정지영상 - 이동식 메모리의 파일 규격인 TIFF/EP 영상 데이터 포멧에 대한 기술 규격을 정의함.,생략,생략
MND-ISO 12234-2:2001,"Electronic still-picture imaging -- Removable memory -- Part 2:TIFF/EP image data format, 2001-10-25",DITA 2023 v3,"영상압축,정지영상압축",필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=29377,본 표준은 디지털 정지영상 - 이동식 메모리의 파일 규격인 TIFF/EP 영상 데이터 포멧에 대한 기술 규격을 정의함.,생략,생략
MND-ISO 13407:1999 (E),"Human-centred design processes for interactive systems, International Organization for Standardizati",DITA 2023 v3,HCI,사양(Retired),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=21197,"본 표준은 컴퓨터 기반 대화형 시스템의 수명 주기 동안의 인간 중심 설계 활동들에 대한 지침을 제공한다. 이 표준은 설계 프로세스의 관리자들을 위한 것으로, 인간 중심 접근법에 관련된 정보와 표준안에 대한 지침을 제공하는 표준이다.",생략,생략
MND-ISO 14496-1:2004,"Information technology -- Coding of audio-visual objects -- Part 1: Systems, 2004",DITA 2023 v3,MPEG,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=38559,본 표준은 낮은 전송률 및 제한된 컴퓨팅 파워상의 응용을 위한 방송 및 저장을 목적 으로 하는 고품질 디지털 상 및 음성 압축 기술과 압축된 데이터의 전송 및 저장을 위한 기술 전반에 대한 표준 기술을 정의한다.,생략,생략
MND-ISO 19107:2003,"Geographic information - Spatial schema, 08 May 2003",DITA 2023 v3,지리정보,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=26012,이 규격은 지리ㆍ지형 지물의 공간 특성을 기술하는 개념 스키마 및 이와 일치하는 일련의 공간 연산을 명시함.,생략,생략
MND-ISO 19108:2002/Cor 1:2006,"Geographic information - Temporal schema, 12 September 2002, with Technical Corrigendum 1, 16 Octobe",DITA 2023 v3,지리정보,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=44883,이 규격은 지리 정보의 시간 특성을 설명하기 위한 개념을 규정함.,생략,생략
MND-ISO 19110:2005,"Geographic information - Methodology for feature cataloging, 11 February 2005",DITA 2023 v3,지리정보,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=39965,본 표준은 유형의 분류를 지형지물 목록으로 편성하는 방법과 지리 데이터 집합의 사용자에게 제시하는 방법을 명시한다.,생략,생략
MND-ISO 19111:2007,"Geographic information -- Spatial referencing by coordinates, 26 June 2007",DITA 2023 v3,지리정보,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=41126,좌표에 위한 공간참조를 설명하기 위한 개념적 스키마를 규정함.,생략,생략
MND-ISO 19112:2003,"Geographic information -- Spatial referencing by geographic identifiers, 21 October 2003",DITA 2023 v3,지리정보,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=26017,지리식별 인자에 기초한 공간 참조의 개념적 스키마에 대하여 규정함.,생략,생략
MND-ISO 19123:2005,"Geographic information - Schema for coverage geometry and functions, August 31, 2005",DITA 2023 v3,지리정보,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=40121,본 표준은 커버리지(coverage)의 공간 특징에 대한 개념스키마를 규정한다.,생략,생략
MND-ISO 19136:2007,"Geographic information -- Geography Markup Language, 2007-08-23",DITA 2023 v3,GML,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=32554,지리정보의 상호운용성을 위해 ISO에서 개발한 Geography Markup Language임 .,생략,생략
MND-ISO 23950:1998,Information and documentation -- Information retrieval (Z39.50) -- Application service and definitio,DITA 2023 v3,Z39.50,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=27446,"인터넷 상에서 정보검색을 위한 프로토콜로서 사용자가 검색하고 식별해낸 레코드를 추출, 용어 목록 스캔, 결과 집합의 정렬을 위한 프로시저와 구조를 명시한 것으로 접근 제어, 자원 관리, 확장된 서비스를 제공함.",생략,생략
MND-ISO 3166-1:2006/Cor 1:2007,"Codes for the representation of names of countries and their subdivisions -- Part 1: Country codes, ",DITA 2023 v3,지역표현코드,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=46123,본 표준은 각 국가에 대한 국가명을 코드로 표기하는 기술 규격을 정의한다.,생략,생략
MND-ISO 32000-1:2008,"Document management -- Portable document format -- Part 1: PDF 1.7, 2008-07-01",DITA 2023 v3,PDF,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=51502,전자문서 파일 표준 포맷으로 정보교환을 위한 전자문서로 광범위하게 활용가능함.,생략,생략
MND-ISO 639-2:1998,"Codes for the representation of names of language -- Part 2: Alpha-3 code, 1998",DITA 2023 v3,언어명표현코드,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=4767,본 표준은 세계 각 언어에 대한 언어명을 코드로 표시하는 기술 규격을 정의한다.,생략,생략
MND-ISO 8601-1:2019,Date and time - Representations for information interchange - Part 1: Basic rules,DITA 2023 v3,날짜/시간 표현,필수(Mandated),ISO(,,본 표준은 정보 체계간 데이터 교환의 활성화를 위한 날짜 표현 방법을 제공함,생략,생략
MND-ISO 8601-2:2019,Date and time - Representations for information interchange - Part 2: Extensions,DITA 2023 v3,날짜/시간 표현,필수(Mandated),ISO(,,본 표준은 정보 체계간 데이터 교환의 활성화를 위한 날짜 표현 방법을 제공함,생략,생략
MND-ISO 8601:2004,Data elements and interchange formats -- Information interchange -- Representation of dates and time,DITA 2023 v3,날짜/시간 표현,사양(Retired),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=40874,본 표준은 정보 체계간 데이터 교환의 활성화를 위한 날짜 표현 방법을 제공한다.,생략,생략
MND-ISO 9241-210:2008,Ergonomics of human-system interaction -- Part 210: Human-centred design for interactive systems,DITA 2023 v3,HCI,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=52075,인간과 시스템간의 상호작용을 위한 소프트웨어 접근 방법에 대한 지침 정의함.,생략,생략
MND-ISO 9735-1:2002,"Electronic data interchange for administaration, commerce and transport(EDIFACT)-Application level s",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35032,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.",생략,생략
MND-ISO 9735-2:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35033,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.",생략,생략
MND-ISO 9735-3:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35034,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.&ltbr type=&quot_moz&quot /&gt",생략,생략
MND-ISO 9735-4:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35035,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.&ltbr type=&quot_moz&quot /&gt",생략,생략
MND-ISO 9735-5:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35036,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.",생략,생략
MND-ISO 9735-6:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35037,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.",생략,생략
MND-ISO 9735-7:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35038,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.",생략,생략
MND-ISO 9735-8:2002,"Electronic data interchange for administration, commerce and transport (EDIFACT) -- Application leve",DITA 2023 v3,EDIFACT,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35039,"본 표준은 행정, 상업 및 운송 분야에서 당사자 사이에 교환되는 전자 문서의 작성에 관한 구문 규칙에 대하여 규정함.",생략,생략
MND-ISO/IEC 10646:2012,Information technology -- Universal Coded Character Set (UCS),DITA 2023 v3,Unicode,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=56921,"본 표준은 세계 각국의 다양한 현대 언어로 작성된 텍스트에 대해 상호교환, 처리, 및 표현을 용이하게 하기 위해 110,181개의 개별 코드문자로 세계 주요 언어로 작성된 자들과 고문서(古文書)까지도 지원할 수 있도록 한 유니코드에 대한 기술 규격을 정의함.",생략,생략
MND-ISO/IEC 11172-1:1993,Information  technology - Coding of moving pictures and associated audio for digital  storage media ,DITA 2023 v3,MPEG,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=19180,시간에 따라 연속적으로 변화하는 동영상 압축과 코드 표현을 통해 정보의 전송이 이루어질 수 있는 방법에 대한 표준이다.,생략,생략
MND-ISO/IEC 11179-1:2004,Information technology -- Metadata registries (MDR) -- Part 1: Framework,DITA 2023 v3,MDR,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=35343,"본 표준은 데이터의 공유를 위한 기본 틀로써 메타데이터의 저장과 관리 모델 제공하며, 전체적으로 6개 부분(Parts)으로 구성되어 있음.",생략,생략
MND-ISO/IEC 11179-2:2005,Information technology -- Metadata registries (MDR) -- Part 2: Classification,DITA 2023 v3,MDR,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35345,"본 표준은 데이터의 공유를 위한 기본 틀로써 메타데이터의 저장과 관리 모델 제공하며, 전체적으로 6개 부분(Parts)으로 구성되어 있음.",생략,생략
MND-ISO/IEC 11179-3:2003/Cor 1:2004,Information  technology -- Metadata registries (MDR) -- Part 3: Registry metamodel and basic attribu,DITA 2023 v3,MDR,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=39488,"본 표준은 데이터의 공유를 위한 기본 틀로써 메타데이터의 저장과 관리 모델 제공하며, 전체적으로 6개 부분(Parts)으로 구성되어 있음.",생략,생략
MND-ISO/IEC 11179-4:2004,Information technology -- Metadata registries (MDR) -- Part 4: Formulation of data definitions,DITA 2023 v3,MDR,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35346,"본 표준은 데이터의 공유를 위한 기본 틀로써 메타데이터의 저장과 관리 모델 제공하며, 전체적으로 6개 부분(Parts)으로 구성되어 있음.",생략,생략
MND-ISO/IEC 11179-5:2005,Information technology -- Metadata registries (MDR) -- Part 5: Naming and identification principles,DITA 2023 v3,MDR,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=35347,"본 표준은 데이터의 공유를 위한 기본 틀로써 메타데이터의 저장과 관리 모델 제공하며, 전체적으로 6개 부분(Parts)으로 구성되어 있음.",생략,생략
MND-ISO/IEC 11179-6:2005,Information technology -- Metadata registries (MDR) -- Part 6: Registration,DITA 2023 v3,MDR,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=35348,"본 표준은 데이터의 공유를 위한 기본 틀로써 메타데이터의 저장과 관리 모델 제공하며, 전체적으로 6개 부분(Parts)으로 구성되어 있음.",생략,생략
"MND-ISO/IEC 12087-5:1998/Cor 1:2001, Cor 2:2002",Information technology -- Computer graphics and image processing -- Image Processing and Interchange,DITA 2023 v3,BIIF,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=27853,이미지 및 다른 형태의 콘텐츠 개발을 위한 래퍼(wrapper)는 군사 및 정보 기관에 상호 운용성을 제공한다. 이 포맷은 한 개의 파일에 있는 999개 이미지 및 기호를 포함할 수 있다. 일반적인 예로 래스터 이미지에 레이어된 텍스트와 그래픽을 들 수 있다.,생략,생략
MND-ISO/IEC 13249-1:2007,Information technology -- Database language -- SQL multimedia and application packages -- Part 1: Fr,DITA 2023 v3,SQL MM,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=38649,"객체 데이터 관리 그룹(ODMG)이 1993년 10월에 발표한 최초의 표준규격으로 객체 멀티미디어 및 다른 주제 영역에서 사용되는 데이터가 SQL 데이터베이스에서 조작되고 저장될 수 있도록 하며, 이러한 데이터에 공통적인 일반적 데이터 타입의 패키지를 정의함.",생략,생략
MND-ISO/IEC 13249-2:2003,Information technology -- Database languages -- SQL multimedia and application packages -- Part 2: F,DITA 2023 v3,SQL MM,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=31368,"객체 데이터 관리 그룹(ODMG)이 1993년 10월에 발표한 최초의 표준규격으로 객체 멀티미디어 및 다른 주제 영역에서 사용되는 데이터가 SQL 데이터베이스에서 조작되고 저장될 수 있도록 하며, 이러한 데이터에 공통적인 일반적 데이터 타입의 패키지를 정의함.",생략,생략
MND-ISO/IEC 13249-3:2011,Information technology -- Database languages -- SQL multimedia and application packages -- Part 3: S,DITA 2023 v3,SQL MM,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=53698,"객체 데이터 관리 그룹(ODMG)이 1993년 10월에 발표한 최초의 표준규격으로 객체 멀티미디어 및 다른 주제 영역에서 사용되는 데이터가 SQL 데이터베이스에서 조작되고 저장될 수 있도록 하며, 이러한 데이터에 공통적인 일반적 데이터 타입의 패키지를 정의함.",생략,생략
MND-ISO/IEC 13249-5:2003,Information technology -- Database languages -- SQL multimedia and application packages -- Part 5: S,DITA 2023 v3,SQL MM,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=35044,"객체 데이터 관리 그룹(ODMG)이 1993년 10월에 발표한 최초의 표준규격으로 객체 멀티미디어 및 다른 주제 영역에서 사용되는 데이터가 SQL 데이터베이스에서 조작되고 저장될 수 있도록 하며, 이러한 데이터에 공통적인 일반적 데이터 타입의 패키지를 정의함.",생략,생략
MND-ISO/IEC 13249-6:2006,Information technology -- Database languages -- SQL multimedia and application packages -- Part 6: D,DITA 2023 v3,SQL MM,필수(Mandated),,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=38648,"객체 데이터 관리 그룹(ODMG)이 1993년 10월에 발표한 최초의 표준규격으로 객체 멀티미디어 및 다른 주제 영역에서 사용되는 데이터가 SQL 데이터베이스에서 조작되고 저장될 수 있도록 하며, 이러한 데이터에 공통적인 일반적 데이터 타입의 패키지를 정의함.",생략,생략
MND-ISO/IEC 13818-1:2007/Cor 1:2008,Information technology -- Generic coding of moving pictures and associated audio information: System,DITA 2023 v3,MPEG,필수(Mandated),,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=46284,본 표준은 Moving Pictures Experts Group(MPEG)에 의해 개발되었다. MPEG 표준은 비디오 그리고 오디오 압축을 목적으로 한다. MPEG는 교환에 사용될 수 있는 압축 동영상 파일을 제공한다.,생략,생략
MND-ISO/IEC 13818-2:2000,"audio information, Part 2:  Video, 2000 (also known as MPEG-2 Video)",DITA 2023 v3,MPEG,필수(Mandated),,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=31539,"본 표준은 디지털 위성방송, 디지털 유선방송, 고화질 TV방송, DVD 비디오 등의 컴퓨터 멀티미디어 서비스에 쓰임.",생략,생략
MND-ISO/IEC 13818-3:1998,Information technology -- Generic coding of moving pictures and associated audio information -- Part,DITA 2023 v3,MPEG,필수(Mandated),,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=26797,"본 표준은 MPEG-2에서 오디오 신호의 개념적인 압축코덱, MPEG-1(MP3)에 여러채널을 쓸 수 있게 확장을 정의한 표준임.",생략,생략
MND-ISO/IEC 14492:2001,"Information technology -- Lossy/lossless coding of bi-level images, 2001-12-13",DITA 2023 v3,"영상압축,정지영상압축",필수(Mandated),,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=22394,본 표준은 2진 영상과 문서 압축을 위한 기술 규격을 정의한다. JBIG2로도 불려지고 있다.,생략,생략
MND-ISO/IEC 15444-1:2004,"Information technology -- JPEG 2000 image coding system: Core coding system, 2004-09-23",DITA 2023 v3,JPEG,필수(Mandated),,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=37674,"본 표준은 bi-level, continuous-tone grey-scale, palletized colour 또는 continuous -tone colour 디지털 정지 영상에 대한 코딩을 위한 무손실 압축방법 그리고 유손실 압축방법을 정의한다.",생략,생략
MND-ISO/IEC 15444-2:2004,"Information technology -- JPEG 2000 image coding system: Extensions, 2004-05-18",DITA 2023 v3,JPEG,필수(Mandated),,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=33160,본 표준은 여러 종류의 정지 영상을 단일 시스템 안에서 지원하기 위한 디지털 정지영상 압축 기술에 관한 표준 기술을 정의한다.,생략,생략
MND-ISO/IEC 15444-9:2005,"Information technology -- JPEG 2000 image coding system: Interactivity tools, APIs and protocols, No",DITA 2023 v3,JPEG,필수(Mandated),,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=39413,본 표준은 High End 어플리케이션 및 새로운 이미지 어플리케이션에 없어서는 안 될 기능들을 제공하는 새로운 이미지 인코딩 표준임.,생략,생략
MND-ISO/IEC 15946-1:2008,Information technology -- Security techniques -- Cryptographic techniques based on elliptic curves -,DITA 2023 v3,암호화,사양(Retired),ISO(,www.iso.org/iso/home/store/catalogue_ics/catalogue_detail_ics.htm?csnumber=44734,본 표준은 타원곡선을 기반으로 공개키 암호 기술을 정의한 표준이다.,생략,생략
MND-ISO/IEC 15946-1:2016,Information technology  Security techniques  Cryptographic techniques based on elliptic curves  Part,DITA 2023 v3,암호화,필수(Mandated),ISO(,,본 표준은 타원곡선을 기반으로 공개키 암호 기술을 정의한 표준이다.,생략,생략
MND-ISO/IEC 15948:2004,Information technology -- Computer graphics and image processing -- Portable Network Graphics (PNG):,DITA 2023 v3,PNG,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=29581,"이 규격은 인터넷을 통해 전달되는 비손실적, 휴대적, 압축된 개개의 컴퓨터그래픽스 이미지를 위한 데이터 흐름 및 관련 파일 형식인 휴대용 네트워크 그래픽(Portable Network Graphics, PNG) 규정으로 활용되어지고 있음.",생략,생략
MND-ISO/IEC 18014-1:2008,"Information technology -- Security techniques -- Time-stamping services -- Part 1: Framework, 2008-0",DITA 2023 v3,전자서명,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=50678,본 표준은 타임 스탬핑 서비스의 프레임워크를 제공한다.,생략,생략
MND-ISO/IEC 18014-2:2009,Information technology -- Security techniques -- Time-stamping services -- Part 2: Mechanisms produc,DITA 2023 v3,전자서명,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=50482,본 표준은 타임 스탬핑 서비스와 프로토콜에서 독립적인 토큰을 생산하는 메커니즘을 제공한다.,생략,생략
MND-ISO/IEC 18014-3:2009,Information technology -- Security techniques -- Time-stamping services -- Part 3: Mechanisms produc,DITA 2023 v3,전자서명,필수(Mandated),ISO(,https://www.iso.org/standard/50457.html,본 표준은 타임 스탬핑 서비스에서 연계된 토큰을 생산하는 메커니즘을 제공한다.,생략,생략
MND-ISO/IEC 18023-1:2006,"Information technology -- SEDRIS -- Part 1: Functional specification, 2006-05-19",DITA 2023 v3,SEDRIS,미래(Emerging),ISO(,www.iso.org/iso/catalogue_detail?csnumber=38442,"SEDRIS는 Synthetic Environment Data Representation and Interchange Specification의 약자로 사용되었으나, 지금은 SEDRIS 자체를 고유명사로 사용함. 이전에는 SEDRIS를 DMSO(Defense Modeling and Simulation Office) 에서 주관하였으나, 현재는 DoD M&SCO(M&S Coordination Office)가 주관하고 있음. SEDRIS는 지형, 특성, 모델을 포함한 종합적인 데이터를 교환할 수 있도록 제작된 표준임.",생략,생략
MND-ISO/IEC 18023-2:2006,SEDRIS Abstract transmittal format(STF) -- Part 2,DITA 2023 v3,SEDRIS,필수(Mandated),ISO(,www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=39352,"SEDRIS는 Synthetic Environment Data Representation and Interchange Specification의 약자로 사용되었으나 지금은 SEDRIS 자체를 고유명사로 사용함. 이전에는 SEDRIS를 DMSO (Defense Modeling and Simulation Office) 에서 주관하였으나, 현재는 DoD M&S Coordination Office과 주관하고 있음. SEDRIS는 지형, 특성, 모델을 포함한 종합적인 데이터를 교환할 수 있도록 제작된 표준임.",생략,생략
